@relation SINE2
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.844,0.758,n
0.259,0.511,n
0.784,0.303,p
0.583,0.908,n
0.282,0.756,n
0.251,0.910,n
0.684,0.472,p
0.913,0.967,n
0.805,0.549,p
0.825,0.668,n
0.968,0.803,n
0.448,0.080,p
0.290,0.189,n
0.758,0.877,n
0.923,0.842,n
0.923,0.541,p
0.849,0.895,n
0.590,0.950,n
0.451,0.660,n
0.117,0.220,n
0.574,0.910,n
0.036,0.022,p
0.961,0.185,p
0.211,0.801,n
0.023,0.426,p
0.101,0.988,n
0.838,0.918,n
0.058,0.676,p
0.845,0.342,p
0.311,0.357,p
0.012,0.742,n
0.336,0.046,p
0.288,0.359,p
0.414,0.651,n
0.002,0.192,p
0.239,0.637,p
0.875,0.568,p
0.662,0.047,p
0.884,0.495,p
0.875,0.812,n
0.188,0.999,n
0.083,0.726,n
0.214,0.717,p
0.002,0.823,n
0.453,0.792,n
0.681,0.558,n
0.947,0.938,n
0.042,0.749,n
0.655,0.712,n
0.333,0.790,n
0.395,0.548,n
0.293,0.478,p
0.099,0.909,n
0.474,0.841,n
0.344,0.479,n
0.427,0.302,n
0.894,0.920,n
0.376,0.975,n
0.394,0.519,n
0.449,0.489,n
0.679,0.423,p
0.431,0.359,n
0.064,0.864,n
0.378,0.546,n
0.151,0.989,p
0.498,0.499,n
0.963,0.899,n
0.818,0.035,p
0.257,0.784,n
0.583,0.718,n
0.656,0.969,n
0.505,0.901,n
0.574,0.679,p
0.758,0.991,n
0.599,0.826,n
0.798,0.657,p
0.860,0.943,n
0.492,0.863,n
0.987,0.411,p
0.471,0.151,n
0.032,0.617,n
0.105,0.549,p
0.881,0.610,p
0.124,0.683,p
0.189,0.782,p
0.790,0.075,p
0.216,0.093,p
0.819,0.889,n
0.699,0.420,p
0.923,0.936,n
0.447,0.686,n
0.030,0.919,n
0.723,0.079,p
0.359,0.029,p
0.010,0.974,n
0.205,0.674,p
0.938,0.123,p
0.473,0.293,n
0.937,0.958,n
0.581,0.156,p
0.898,0.946,n
0.551,0.741,p
0.369,0.949,n
0.058,0.409,p
0.728,0.321,p
0.558,0.688,n
0.796,0.446,p
0.768,0.432,p
0.483,0.204,n
0.002,0.699,n
0.629,0.545,n
0.156,0.706,p
0.762,0.280,p
0.526,0.582,n
0.396,0.102,p
0.283,0.755,p
0.530,0.249,n
0.920,0.164,n
0.627,0.531,n
0.292,0.372,p
0.381,0.591,p
0.140,0.668,p
0.695,0.318,p
0.652,0.060,p
0.621,1.000,n
0.461,0.330,p
0.435,0.447,n
0.709,0.524,p
0.389,0.807,n
0.390,0.220,p
0.940,0.587,p
0.388,0.234,p
0.613,0.705,p
0.512,0.284,n
0.353,0.458,n
0.516,0.956,n
0.930,0.934,n
0.266,0.044,p
0.681,0.971,n
0.340,0.102,p
0.029,0.044,p
0.673,0.736,n
0.072,0.461,p
0.099,0.765,n
0.077,0.427,p
0.180,0.490,p
0.128,0.871,n
0.442,0.605,n
0.099,0.733,p
0.660,0.742,n
0.645,0.118,p
0.703,0.661,n
0.234,0.629,n
0.553,0.328,n
0.585,0.025,p
0.396,0.976,n
0.076,0.765,n
0.353,0.591,n
0.834,0.526,p
0.220,0.653,p
0.661,0.495,n
0.481,0.314,n
0.038,0.726,n
0.962,0.343,p
0.726,0.658,p
0.672,0.305,n
0.025,0.045,p
0.226,0.654,n
0.892,0.217,p
0.747,0.383,p
0.736,0.687,n
0.409,0.390,n
0.514,0.732,n
0.022,0.806,n
0.621,0.458,n
0.150,0.602,p
0.806,0.733,p
0.932,0.036,n
0.293,0.151,n
0.270,0.492,p
0.550,0.977,n
0.773,0.570,p
0.404,0.496,n
0.776,0.290,p
0.340,0.978,n
0.329,0.969,n
0.916,0.899,p
0.816,0.565,p
0.323,0.783,n
0.141,0.044,p
0.126,0.929,n
0.480,0.947,n
0.779,0.747,p
0.549,0.424,n
0.504,0.797,n
0.285,0.429,p
0.991,0.718,n
0.538,0.555,n
0.361,0.950,n
0.562,0.412,n
0.804,0.228,p
0.529,0.941,n
0.731,0.249,p
0.448,0.744,n
0.450,0.509,n
0.773,0.610,p
0.091,0.030,p
0.775,0.626,p
0.127,0.710,p
0.328,0.024,p
0.928,0.845,n
0.984,0.765,n
0.275,0.671,n
0.404,0.306,p
0.125,0.134,p
0.824,0.043,p
0.555,0.744,n
0.261,0.700,n
0.758,0.818,p
0.072,0.648,p
0.239,0.459,p
0.821,0.343,p
0.813,0.080,p
0.352,0.452,n
0.512,0.987,n
0.119,0.317,p
0.358,0.835,p
0.077,0.054,p
0.902,0.756,n
0.190,0.388,p
0.358,0.123,p
0.554,0.872,n
0.496,0.080,p
0.862,0.791,n
0.262,0.648,p
0.175,0.921,n
0.625,0.946,n
0.483,0.888,n
0.044,0.240,p
0.170,0.238,p
0.013,0.930,n
0.038,0.777,n
0.510,0.533,n
0.436,0.471,n
0.397,0.581,n
0.836,0.998,n
0.475,0.237,n
0.421,0.870,n
0.393,0.925,n
0.604,0.161,p
0.411,0.590,n
0.345,0.629,n
0.196,0.957,n
0.177,0.584,p
0.634,0.291,p
0.431,0.398,n
0.076,0.711,n
0.118,0.963,n
0.502,0.332,p
0.695,0.912,n
0.965,0.996,n
0.813,0.683,p
0.005,0.595,n
0.644,0.982,n
0.376,0.793,n
0.010,0.892,p
0.481,0.108,p
0.584,0.254,p
0.776,0.923,n
0.827,0.850,n
0.916,0.929,p
0.087,0.588,p
0.473,0.181,p
0.393,0.953,n
0.111,0.141,p
0.690,0.931,p
0.098,0.005,p
0.225,0.496,p
0.947,0.509,p
0.078,0.574,p
0.232,0.936,n
0.401,0.500,n
0.916,0.432,p
0.993,0.867,n
0.344,0.244,p
0.110,0.384,p
0.389,0.514,n
0.977,0.566,n
0.676,0.502,n
0.040,0.093,p
0.200,0.327,n
0.797,0.364,p
0.044,0.383,n
0.897,0.846,n
0.067,0.177,n
0.436,0.381,n
0.765,0.616,p
0.583,0.704,n
0.677,0.641,p
0.092,0.945,n
0.273,0.692,n
0.106,0.911,n
0.822,0.234,p
0.024,0.723,n
0.446,0.429,n
0.253,0.475,p
0.284,0.653,n
0.930,0.969,n
0.673,0.946,n
0.469,0.678,p
0.411,0.192,p
0.787,0.802,n
0.923,0.713,n
0.594,0.434,n
0.618,0.899,n
0.213,0.441,p
0.905,0.844,p
0.196,0.044,p
0.757,0.426,n
0.646,0.988,n
0.469,0.147,p
0.754,0.752,n
0.394,0.464,p
0.892,0.704,p
0.207,0.854,n
0.874,0.411,p
0.493,0.015,p
0.513,0.153,p
0.258,0.594,p
0.838,0.220,p
0.507,0.340,n
0.264,0.089,n
0.993,0.479,n
0.885,0.119,n
0.430,0.032,p
0.384,0.344,p
0.542,0.339,n
0.552,0.161,n
0.791,0.068,p
0.571,0.521,n
0.586,0.485,n
0.707,0.996,n
0.348,0.269,p
0.828,0.984,n
0.277,0.664,p
0.292,0.115,p
0.712,0.979,p
0.346,0.449,p
0.174,0.241,p
0.835,0.638,p
0.269,0.871,n
0.317,0.548,n
0.048,0.708,n
0.313,0.809,n
0.384,0.238,p
0.308,0.824,n
0.404,0.471,n
0.552,0.250,n
0.417,0.884,n
0.868,0.795,n
0.742,0.722,n
0.847,0.062,p
0.506,0.212,n
0.493,0.127,p
0.746,0.450,p
0.276,0.412,p
0.396,0.726,n
0.158,0.243,p
0.045,0.854,n
0.067,0.446,p
0.013,0.148,n
0.502,0.688,n
0.397,0.474,n
0.696,0.502,p
0.675,0.757,p
0.510,0.808,n
0.517,0.900,n
0.342,0.433,p
0.459,0.069,p
0.201,0.103,p
0.174,0.966,n
0.991,0.016,p
0.608,0.928,n
0.782,0.699,n
0.658,0.612,n
0.506,0.587,p
0.897,0.031,p
0.648,0.931,n
0.419,0.332,n
0.979,0.657,n
0.274,0.977,n
0.804,0.160,p
0.608,0.421,n
0.159,0.924,n
0.686,0.813,n
0.112,0.773,p
0.100,0.764,n
0.262,0.785,n
0.041,0.015,p
