@relation SINE1
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.505,0.282,n
0.756,0.618,n
0.910,0.983,n
0.434,0.611,n
0.865,0.260,p
0.805,0.549,p
0.494,0.868,n
0.244,0.325,n
0.968,0.803,p
0.448,0.080,n
0.290,0.189,p
0.187,0.613,n
0.877,0.923,p
0.842,0.898,n
0.276,0.812,n
0.849,0.895,n
0.950,0.580,p
0.660,0.996,n
0.486,0.630,n
0.117,0.220,p
0.101,0.146,n
0.635,0.606,n
0.576,0.391,p
0.981,0.036,p
0.961,0.185,p
0.211,0.801,n
0.260,0.221,p
0.647,0.350,n
0.504,0.039,p
0.988,0.199,p
0.732,0.838,n
0.169,0.673,n
0.058,0.676,n
0.311,0.357,n
0.012,0.742,n
0.336,0.046,p
0.947,0.634,p
0.334,0.239,p
0.402,0.702,n
0.445,0.259,p
0.884,0.495,p
0.312,0.467,n
0.999,0.633,p
0.083,0.726,n
0.528,0.098,p
0.119,0.649,n
0.854,0.397,p
0.651,0.347,p
0.872,0.278,p
0.041,0.681,n
0.947,0.938,n
0.042,0.749,n
0.655,0.712,n
0.208,0.587,n
0.982,0.290,p
0.478,0.240,p
0.048,0.180,n
0.415,0.099,p
0.479,0.700,n
0.894,0.920,n
0.085,0.750,n
0.061,0.008,p
0.519,0.449,p
0.431,0.359,p
0.064,0.864,p
0.119,0.398,n
0.198,0.378,n
0.406,0.680,n
0.322,0.498,n
0.610,0.219,p
0.340,0.963,n
0.818,0.035,p
0.257,0.784,p
0.583,0.718,n
0.066,0.085,n
0.331,0.161,p
0.149,0.656,n
0.505,0.901,n
0.574,0.679,n
0.758,0.991,p
0.599,0.826,n
0.798,0.657,p
0.000,0.182,n
0.408,0.810,n
0.056,0.036,p
0.418,0.492,n
0.987,0.411,p
0.612,0.387,p
0.471,0.151,p
0.549,0.347,p
0.881,0.610,p
0.873,0.681,p
0.189,0.782,n
0.790,0.075,p
0.667,0.572,p
0.889,0.779,n
0.699,0.420,p
0.113,0.426,n
0.734,0.031,p
0.723,0.079,p
0.348,0.010,p
0.974,0.819,n
0.893,0.208,p
0.859,0.187,p
0.112,0.344,n
0.473,0.293,p
0.937,0.958,n
0.581,0.156,p
0.898,0.946,p
0.291,0.420,n
0.078,0.073,p
0.420,0.551,n
0.142,0.422,n
0.949,0.058,p
0.409,0.417,n
0.321,0.204,n
0.471,0.950,n
0.277,0.558,p
0.796,0.446,p
0.768,0.432,p
0.483,0.204,n
0.002,0.699,n
0.008,0.299,n
0.629,0.545,p
0.257,0.526,n
0.582,0.396,n
0.253,0.283,n
0.909,0.595,p
0.792,0.306,p
0.164,0.415,n
0.290,0.520,n
0.627,0.531,p
0.372,0.629,p
0.591,0.140,p
0.668,0.354,p
0.415,0.477,n
0.889,0.010,p
0.686,0.742,n
0.669,0.006,p
0.621,1.000,n
0.752,0.288,p
0.897,0.435,p
0.447,0.709,n
0.789,0.389,p
0.807,0.390,p
0.196,0.940,n
0.512,0.284,p
0.877,0.353,p
0.955,0.930,n
0.934,0.581,p
0.704,0.215,p
0.655,0.140,p
0.397,0.921,p
0.454,0.340,p
0.456,0.325,p
0.712,0.045,p
0.934,0.072,p
0.099,0.765,n
0.490,0.128,p
0.536,0.261,p
0.099,0.733,n
0.249,0.285,n
0.660,0.742,n
0.118,0.737,n
0.359,0.675,n
0.240,0.518,p
0.328,0.585,n
0.976,0.510,n
0.076,0.765,n
0.213,0.733,n
0.901,0.108,p
0.834,0.526,p
0.456,0.013,p
0.953,0.481,p
0.384,0.059,p
0.038,0.726,n
0.343,0.441,n
0.305,0.356,p
0.067,0.062,n
0.217,0.435,n
0.358,0.177,p
0.987,0.747,p
0.736,0.687,n
0.003,0.138,n
0.148,0.330,n
0.684,0.168,p
0.078,0.928,p
0.621,0.458,p
0.090,0.293,n
0.735,0.405,p
0.773,0.570,p
0.721,0.404,p
0.034,0.681,n
0.686,0.207,p
0.969,0.925,n
0.586,0.720,n
0.353,0.916,n
0.816,0.565,p
0.323,0.783,n
0.141,0.044,p
0.126,0.929,n
0.480,0.947,n
0.549,0.424,p
0.950,0.174,p
0.659,0.157,p
0.504,0.797,n
0.755,0.266,p
0.429,0.991,n
0.783,0.792,n
0.563,0.361,p
0.950,0.562,p
0.941,0.680,p
0.731,0.249,p
0.448,0.744,n
0.450,0.509,n
0.773,0.610,p
0.091,0.030,p
0.775,0.626,p
0.328,0.024,n
0.566,0.347,p
0.541,0.043,p
0.928,0.845,n
0.315,0.905,n
0.125,0.134,n
0.481,0.642,n
0.813,0.202,p
0.999,0.155,n
0.900,0.553,p
0.457,0.239,p
0.459,0.159,p
0.543,0.821,n
0.428,0.352,p
0.452,0.834,n
0.317,0.023,p
0.193,0.414,n
0.711,0.358,p
0.835,0.077,p
0.355,0.902,n
0.123,0.351,n
0.177,0.616,n
0.014,0.456,n
0.872,0.496,p
0.052,0.862,n
0.096,0.827,n
0.626,0.287,p
0.548,0.147,p
0.175,0.921,n
0.243,0.879,n
0.240,0.282,n
0.878,0.463,p
0.013,0.930,n
0.006,0.390,n
0.611,0.778,n
0.674,0.380,p
0.248,0.138,p
0.966,0.432,p
0.885,0.372,p
0.237,0.040,p
0.322,0.798,p
0.713,0.027,p
0.925,0.713,p
0.604,0.161,p
0.411,0.590,n
0.284,0.504,n
0.345,0.629,n
0.957,0.177,n
0.291,0.431,n
0.076,0.711,n
0.681,0.778,n
0.554,0.169,p
0.228,0.525,p
0.357,0.882,n
0.716,0.335,p
0.744,0.305,p
0.949,0.512,p
0.965,0.996,p
0.683,0.154,p
0.595,0.704,n
0.517,0.697,n
0.205,0.644,n
0.111,0.689,n
0.481,0.108,p
0.923,0.562,p
0.827,0.850,n
0.208,0.708,n
0.405,0.021,p
0.388,0.885,n
0.588,0.335,p
0.507,0.456,n
0.645,0.473,p
0.144,0.069,n
0.068,0.393,n
0.556,0.266,n
0.111,0.141,n
0.139,0.864,p
0.862,0.558,p
0.227,0.839,n
0.311,0.225,p
0.947,0.509,n
0.758,0.232,p
0.936,0.742,p
0.880,0.359,p
0.500,0.471,p
0.401,0.766,n
0.344,0.244,p
0.676,0.502,p
0.092,0.317,n
0.040,0.093,n
0.797,0.364,p
0.234,0.044,n
0.005,0.116,n
0.897,0.846,n
0.928,0.382,p
0.807,0.436,p
0.765,0.616,p
0.583,0.704,n
0.677,0.641,p
0.092,0.945,n
0.273,0.692,p
0.106,0.911,n
0.455,0.340,p
0.336,0.822,n
0.935,0.024,n
0.723,0.006,p
0.764,0.446,p
0.969,0.522,p
0.088,0.300,n
0.411,0.192,p
0.391,0.787,n
0.961,0.888,n
0.923,0.713,p
0.618,0.899,p
0.571,0.213,n
0.243,0.905,p
0.556,0.196,p
0.134,0.443,n
0.224,0.685,n
0.988,0.885,p
0.557,0.357,p
0.438,0.439,n
0.846,0.469,p
0.754,0.752,n
0.394,0.464,n
0.892,0.704,p
0.207,0.854,p
0.874,0.411,p
0.643,0.490,n
0.970,0.493,p
0.015,0.419,n
0.312,0.745,n
0.864,0.513,p
0.153,0.258,n
0.264,0.089,p
0.155,0.627,n
0.384,0.344,p
0.824,0.542,p
0.495,0.022,p
0.863,0.332,p
0.995,0.613,p
0.521,0.861,n
0.558,0.707,n
0.399,0.609,n
0.745,0.348,p
0.828,0.984,n
0.277,0.664,n
0.292,0.115,p
0.712,0.979,n
0.532,0.409,p
0.080,0.979,n
0.699,0.031,p
0.835,0.638,n
0.871,0.661,p
0.692,0.140,p
0.582,0.253,p
0.449,0.123,n
0.808,0.384,p
0.238,0.308,n
0.754,0.525,p
0.937,0.058,p
0.249,0.221,p
0.233,0.821,n
0.417,0.884,n
0.243,0.560,n
0.581,0.168,n
0.795,0.742,n
0.722,0.790,p
0.062,0.168,n
0.127,0.086,p
0.746,0.450,p
0.893,0.158,p
0.243,0.210,p
0.854,0.511,p
0.446,0.451,n
0.148,0.667,n
0.367,0.964,n
0.688,0.134,n
0.913,0.349,p
0.675,0.757,n
0.843,0.189,p
0.514,0.510,n
0.517,0.900,n
0.968,0.459,p
0.940,0.185,p
0.812,0.009,p
0.928,0.831,n
0.500,0.363,p
0.355,0.582,n
0.532,0.353,p
0.184,0.179,n
0.658,0.612,n
0.587,0.941,n
0.031,0.648,n
0.931,0.502,p
0.332,0.916,n
0.657,0.274,p
0.977,0.609,p
0.259,0.715,n
0.608,0.421,p
0.813,0.774,n
0.112,0.773,n
0.100,0.764,n
0.262,0.785,n
0.041,0.015,p
0.776,0.138,p
0.385,0.978,n
0.986,0.049,p
0.599,0.399,p
0.985,0.055,p
0.941,0.127,p
0.207,0.956,n
0.577,0.288,p
0.052,0.774,n
0.070,0.010,p
0.773,0.833,n
0.938,0.115,p
0.740,0.323,p
0.578,0.063,p
0.536,0.084,p
0.480,0.426,p
0.074,0.219,n
0.829,0.511,p
0.727,0.402,p
0.815,0.744,n
0.038,0.384,n
0.111,0.435,n
0.359,0.942,n
0.784,0.161,p
0.044,0.739,n
0.998,0.165,p
0.914,0.707,p
0.173,0.442,n
0.578,0.978,n
0.866,0.885,n
0.942,0.238,p
0.633,0.322,n
0.605,0.710,n
0.731,0.043,p
0.957,0.604,p
0.314,0.674,n
0.863,0.115,p
0.059,0.983,n
0.615,0.559,p
0.790,0.091,p
0.990,0.855,n
0.331,0.733,n
0.730,0.091,p
0.588,0.391,p
0.892,0.942,n
0.590,0.226,p
0.271,0.078,p
0.182,0.870,n
0.736,0.004,p
0.143,0.207,n
0.220,0.174,p
0.675,0.189,p
0.376,0.954,p
0.716,0.918,n
0.536,0.761,n
0.178,0.068,p
