@relation MIXED
@attribute v {False,True}
@attribute w {False,True}
@attribute x real
@attribute y real
@attribute class {p,n}

@data
True,False,0.094,0.028,p
True,False,0.022,0.650,n
False,True,0.686,0.969,n
False,True,0.939,0.553,p
True,True,0.589,0.035,p
True,False,0.439,0.508,n
True,True,0.647,0.169,p
False,False,0.771,0.540,n
False,True,0.514,0.952,n
True,False,0.519,0.561,n
True,False,0.481,0.365,n
True,True,0.813,0.414,p
False,False,0.798,0.797,n
True,False,0.842,0.673,n
False,True,0.527,0.168,p
True,True,0.455,0.322,p
False,True,0.900,0.510,p
False,True,0.817,0.021,p
False,False,0.719,0.160,n
True,False,0.977,0.631,n
False,False,0.306,0.859,n
True,True,0.744,0.416,p
False,False,0.591,0.218,n
True,False,0.828,0.870,n
True,False,0.492,0.938,n
False,False,0.167,0.538,p
True,True,0.600,0.841,p
True,False,0.291,0.867,n
True,False,0.571,0.224,p
False,True,0.012,0.670,n
False,True,0.162,0.451,p
False,False,0.744,0.103,n
True,True,0.550,0.712,p
False,False,0.913,0.970,n
True,False,0.250,0.785,p
True,True,0.259,0.542,p
True,False,0.652,0.643,n
False,True,0.967,0.041,p
True,False,0.334,0.544,n
True,False,0.729,0.022,p
False,True,0.751,0.359,p
True,True,0.107,0.514,p
False,False,0.299,0.537,n
False,False,0.253,0.064,n
True,True,0.541,0.851,p
False,False,0.138,0.983,n
True,True,0.564,0.172,p
True,False,0.512,0.792,n
False,True,0.595,0.856,n
False,True,0.682,0.717,n
False,False,0.808,0.628,n
True,False,0.622,0.488,n
False,False,0.431,0.534,n
True,True,0.248,0.750,p
False,True,0.311,0.757,n
True,False,0.545,0.491,n
False,True,0.205,0.811,n
True,True,0.503,0.357,n
True,False,0.124,0.718,p
True,True,0.783,0.683,p
True,True,0.204,0.004,p
False,True,0.601,0.517,n
True,True,0.846,0.767,p
False,True,0.070,0.067,n
True,False,0.164,0.710,p
False,True,0.636,0.276,n
True,True,0.512,0.737,p
False,True,0.653,0.713,n
False,True,0.790,0.867,n
True,False,0.259,0.610,p
True,False,0.073,0.732,n
False,False,0.894,0.441,n
False,False,0.683,0.494,n
False,False,0.222,0.233,n
True,True,0.751,0.973,p
True,True,0.547,0.390,p
True,True,0.496,0.111,p
True,True,0.919,0.400,p
False,False,0.015,0.145,n
False,False,0.933,0.781,n
True,False,0.190,0.500,p
False,True,0.428,0.698,n
False,True,0.547,0.538,n
True,False,0.714,0.743,n
False,True,0.178,0.097,p
False,True,0.852,0.053,n
True,True,0.099,0.313,p
False,True,0.664,0.895,n
True,False,0.737,0.270,p
True,True,0.735,0.260,p
True,False,0.856,0.304,p
False,False,0.330,0.339,n
True,False,0.130,0.815,n
False,True,0.743,0.200,n
True,False,0.410,0.126,p
True,True,0.418,0.319,p
True,True,0.928,0.970,p
False,False,0.135,0.524,n
True,True,0.307,0.598,p
True,False,0.029,0.250,p
False,False,0.185,0.411,n
False,False,0.979,0.681,n
False,False,0.643,0.173,n
True,False,0.891,0.598,p
False,True,0.452,0.367,n
False,True,0.726,0.814,n
True,False,0.404,0.883,n
True,True,0.526,0.542,p
True,True,0.453,0.131,p
True,True,0.464,0.796,p
False,False,0.730,0.103,n
False,False,0.089,0.612,n
False,False,0.534,0.347,n
True,False,0.480,0.793,n
True,True,0.682,0.498,p
True,True,0.634,0.810,p
True,False,0.533,0.609,n
False,True,0.270,0.480,p
True,False,0.058,0.326,p
False,True,0.422,0.004,p
False,True,0.077,0.725,n
False,True,0.317,0.269,p
False,False,0.139,0.399,p
False,False,0.680,0.274,n
True,False,0.352,0.804,n
False,True,0.405,0.679,n
False,False,0.215,0.435,n
False,True,0.445,0.132,p
True,True,0.889,0.160,p
True,True,0.406,0.977,p
False,True,0.747,0.942,n
False,False,0.471,0.037,n
False,False,0.832,0.587,n
False,False,0.562,0.358,n
True,True,0.658,0.996,p
False,True,0.415,0.359,p
False,False,0.341,0.114,n
False,True,0.897,0.383,p
False,True,0.717,0.100,n
True,False,0.785,0.461,p
True,True,0.840,0.150,p
True,True,0.109,0.026,n
False,True,0.992,0.544,n
False,True,0.907,0.662,p
False,False,0.775,0.935,n
False,True,0.090,0.095,p
True,False,0.978,0.239,p
False,True,0.699,0.808,n
False,False,0.731,0.336,n
False,True,0.255,0.349,p
True,False,0.149,0.130,n
True,False,0.591,0.129,p
True,True,0.749,0.178,p
True,False,0.705,0.022,p
False,True,0.755,0.255,p
True,False,0.812,0.957,n
True,True,0.545,0.231,p
False,False,0.672,0.921,n
True,True,0.769,0.421,p
False,False,0.187,0.016,n
True,False,0.394,0.730,n
True,False,0.094,0.678,p
False,False,0.854,0.939,p
True,False,0.993,0.797,n
True,False,0.596,0.556,n
True,False,0.865,0.787,p
False,False,0.574,0.014,n
True,True,0.933,0.750,p
True,False,0.485,0.634,n
True,True,0.500,0.810,p
False,False,0.768,0.247,n
False,False,0.904,0.952,n
False,False,0.099,0.722,p
False,True,0.340,0.296,p
False,False,0.442,0.364,n
False,False,0.974,0.506,n
False,False,0.982,0.032,n
True,True,0.243,0.506,p
True,False,0.700,0.926,p
False,True,0.862,0.054,p
True,True,0.233,0.962,p
False,False,0.618,0.630,n
False,True,0.379,0.622,n
True,True,0.001,0.704,p
True,False,0.675,0.031,p
False,False,0.130,0.923,n
False,False,0.003,0.062,n
True,True,0.582,0.522,p
True,False,0.331,0.407,p
False,True,0.878,0.146,p
True,False,0.231,0.748,n
False,False,0.443,0.793,n
False,True,0.714,0.527,p
True,True,0.764,0.922,p
False,False,0.072,0.798,n
False,False,0.458,0.627,n
True,False,0.277,0.473,p
False,True,0.154,0.353,p
True,True,0.508,0.870,p
True,True,0.654,0.185,p
True,False,0.360,0.049,p
True,False,0.162,0.075,n
False,False,0.763,0.134,p
True,True,0.890,0.573,p
True,True,0.416,0.071,p
True,True,0.869,0.952,p
True,True,0.927,0.217,p
True,False,0.038,0.640,n
False,False,0.039,0.507,n
True,True,0.438,0.688,p
False,True,0.930,0.045,p
True,True,0.970,0.173,p
True,True,0.170,0.616,p
True,False,0.283,0.155,p
True,False,0.425,0.713,n
True,False,0.443,0.182,p
True,False,0.587,0.947,p
False,False,0.975,0.550,n
True,True,0.442,0.889,p
False,True,0.278,0.409,p
False,False,0.401,0.866,n
True,False,0.320,0.350,p
False,False,0.787,0.984,n
True,True,0.938,0.398,p
False,False,0.536,0.316,n
False,False,0.241,0.200,n
False,False,0.781,0.905,n
True,True,0.943,0.344,p
True,True,0.204,0.871,p
False,False,0.534,0.733,n
